,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
10,"Antioch, California",Pizza Place,Mexican Restaurant,Café,Bakery,Sandwich Place,Italian Restaurant,American Restaurant,Burger Joint,Deli / Bodega,Diner,Fast Food Restaurant,Breakfast Spot,Sushi Restaurant,New American Restaurant,Thai Restaurant,Afghan Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Salad Place,Vietnamese Restaurant,Indian Restaurant,Latin American Restaurant,Seafood Restaurant,Japanese Restaurant,Taco Place
11,"Arlington, Texas",Seafood Restaurant,American Restaurant,Mexican Restaurant,Burger Joint,Pizza Place,Sushi Restaurant,BBQ Joint,Taco Place,Steakhouse,Fast Food Restaurant,Bakery,Italian Restaurant,Sandwich Place,Deli / Bodega,Latin American Restaurant,New American Restaurant,Café,Mediterranean Restaurant,Diner,Greek Restaurant,Japanese Restaurant,Vegetarian / Vegan Restaurant,Fried Chicken Joint,Southern / Soul Food Restaurant,Tex-Mex Restaurant
12,"Arvada, Colorado",American Restaurant,Pizza Place,New American Restaurant,Italian Restaurant,Mexican Restaurant,Sandwich Place,Taco Place,Burger Joint,Breakfast Spot,Bakery,Chinese Restaurant,Steakhouse,Sushi Restaurant,Seafood Restaurant,Japanese Restaurant,BBQ Joint,Indian Restaurant,Korean Restaurant,Mediterranean Restaurant,Food Court,Fast Food Restaurant,French Restaurant,Diner,Gastropub,Hot Dog Joint
13,"Athens, Georgia",Mexican Restaurant,Pizza Place,American Restaurant,Burrito Place,New American Restaurant,BBQ Joint,Fast Food Restaurant,Sandwich Place,Burger Joint,Breakfast Spot,Steakhouse,Bakery,Greek Restaurant,Mediterranean Restaurant,Taco Place,Bagel Shop,Italian Restaurant,Fried Chicken Joint,Seafood Restaurant,Latin American Restaurant,Food,Japanese Restaurant,Indian Restaurant,Donut Shop,Diner
14,"Atlanta, Georgia",American Restaurant,Pizza Place,Mediterranean Restaurant,Southern / Soul Food Restaurant,Italian Restaurant,Mexican Restaurant,Sandwich Place,Breakfast Spot,Seafood Restaurant,Thai Restaurant,Steakhouse,Bakery,Gastropub,BBQ Joint,Café,Sushi Restaurant,Deli / Bodega,French Restaurant,Taco Place,Burger Joint,Tapas Restaurant,Fast Food Restaurant,Cuban Restaurant,Ramen Restaurant,Vietnamese Restaurant
15,"Augusta, Georgia",American Restaurant,Mexican Restaurant,Pizza Place,Japanese Restaurant,Sandwich Place,Deli / Bodega,Seafood Restaurant,Burger Joint,Donut Shop,Steakhouse,Breakfast Spot,Sushi Restaurant,BBQ Joint,Fast Food Restaurant,Café,Southern / Soul Food Restaurant,Chinese Restaurant,Wings Joint,Burrito Place,Asian Restaurant,Indian Restaurant,Bakery,Buffet,Thai Restaurant,Mongolian Restaurant
16,"Aurora, Colorado",American Restaurant,Sandwich Place,Breakfast Spot,Mexican Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Sushi Restaurant,New American Restaurant,Fast Food Restaurant,Taco Place,Steakhouse,Diner,BBQ Joint,Thai Restaurant,Seafood Restaurant,Deli / Bodega,Asian Restaurant,Chinese Restaurant,Bistro,Cajun / Creole Restaurant,Mediterranean Restaurant,Donut Shop,Burrito Place,Comfort Food Restaurant
17,"Aurora, Illinois",Hot Dog Joint,Breakfast Spot,Mexican Restaurant,American Restaurant,Pizza Place,BBQ Joint,Italian Restaurant,Steakhouse,Bakery,Deli / Bodega,Seafood Restaurant,Snack Place,Fast Food Restaurant,New American Restaurant,Sandwich Place,Diner,Burrito Place,Wings Joint,Café,Chinese Restaurant,Mediterranean Restaurant,Burger Joint,Southern / Soul Food Restaurant,Sushi Restaurant,Brazilian Restaurant
18,"Austin, Texas",Pizza Place,Taco Place,Sandwich Place,Burger Joint,Food Truck,American Restaurant,BBQ Joint,Mexican Restaurant,Bakery,Breakfast Spot,Seafood Restaurant,Café,Japanese Restaurant,Vegetarian / Vegan Restaurant,Italian Restaurant,Korean Restaurant,Diner,Ramen Restaurant,Vietnamese Restaurant,French Restaurant,Steakhouse,Gastropub,Gluten-free Restaurant,Deli / Bodega,Falafel Restaurant
19,"Bakersfield, California",Mexican Restaurant,Pizza Place,Burger Joint,American Restaurant,Steakhouse,Sandwich Place,Italian Restaurant,Bakery,Breakfast Spot,Sushi Restaurant,Diner,BBQ Joint,Thai Restaurant,Japanese Restaurant,Chinese Restaurant,Mediterranean Restaurant,Deli / Bodega,Café,Middle Eastern Restaurant,Modern European Restaurant,Fast Food Restaurant,Donut Shop,Food,Southern / Soul Food Restaurant,Bagel Shop
20,"Baltimore, Maryland",Pizza Place,Seafood Restaurant,American Restaurant,Deli / Bodega,Italian Restaurant,Café,Bakery,Sandwich Place,Mexican Restaurant,Gastropub,BBQ Joint,Fast Food Restaurant,Breakfast Spot,Sushi Restaurant,Diner,Middle Eastern Restaurant,Mediterranean Restaurant,Taco Place,Latin American Restaurant,Food Court,Salad Place,Moroccan Restaurant,New American Restaurant,Falafel Restaurant,Persian Restaurant
21,"Baton Rouge, Louisiana",Cajun / Creole Restaurant,Seafood Restaurant,Mexican Restaurant,Burger Joint,Italian Restaurant,Café,BBQ Joint,Mediterranean Restaurant,Steakhouse,Deli / Bodega,Pizza Place,Bakery,Fast Food Restaurant,Fried Chicken Joint,Sandwich Place,Donut Shop,Burrito Place,American Restaurant,Southern / Soul Food Restaurant,Greek Restaurant,Chinese Restaurant,Sushi Restaurant,Breakfast Spot,New American Restaurant,Vietnamese Restaurant
22,"Beaumont, Texas",Mexican Restaurant,Burger Joint,Italian Restaurant,Steakhouse,Fast Food Restaurant,Seafood Restaurant,Deli / Bodega,Pizza Place,Sushi Restaurant,American Restaurant,Bakery,Sandwich Place,Vietnamese Restaurant,Cajun / Creole Restaurant,Comfort Food Restaurant,Wings Joint,Thai Restaurant,Fried Chicken Joint,Donut Shop,Bistro,Indian Restaurant,Cuban Restaurant,Chinese Restaurant,Mediterranean Restaurant,Café
23,"Bellevue, Washington",Pizza Place,Vietnamese Restaurant,Thai Restaurant,Sandwich Place,Italian Restaurant,Café,Dumpling Restaurant,Bakery,Mexican Restaurant,French Restaurant,Steakhouse,Taco Place,Sushi Restaurant,Middle Eastern Restaurant,Poke Place,American Restaurant,Food Truck,Fried Chicken Joint,BBQ Joint,Greek Restaurant,Donut Shop,Japanese Restaurant,Ethiopian Restaurant,Mediterranean Restaurant,Diner
24,"Berkeley, California",Pizza Place,Café,Mexican Restaurant,Bakery,Food Truck,Sushi Restaurant,New American Restaurant,Italian Restaurant,Vietnamese Restaurant,Sandwich Place,Japanese Restaurant,Mediterranean Restaurant,Deli / Bodega,Seafood Restaurant,Thai Restaurant,French Restaurant,Asian Restaurant,American Restaurant,Spanish Restaurant,Breakfast Spot,Moroccan Restaurant,Donut Shop,Dim Sum Restaurant,Wings Joint,Ethiopian Restaurant
25,"Billings, Montana",Burger Joint,Mexican Restaurant,Steakhouse,Sandwich Place,American Restaurant,Pizza Place,Fast Food Restaurant,Thai Restaurant,Italian Restaurant,Diner,BBQ Joint,Food,Sushi Restaurant,New American Restaurant,Fried Chicken Joint,Donut Shop,Chinese Restaurant,Café,Soup Place,Wings Joint,Asian Restaurant,Tapas Restaurant,Bakery,Bagel Shop,Greek Restaurant
26,"Birmingham, Alabama",American Restaurant,Mediterranean Restaurant,BBQ Joint,Pizza Place,Italian Restaurant,Bakery,Mexican Restaurant,Sandwich Place,New American Restaurant,Gastropub,French Restaurant,Steakhouse,Sushi Restaurant,Southern / Soul Food Restaurant,Breakfast Spot,Seafood Restaurant,Donut Shop,Chinese Restaurant,Café,Fast Food Restaurant,Fried Chicken Joint,Latin American Restaurant,Ramen Restaurant,Food Court,Diner
27,"Boise, Idaho",Pizza Place,Mexican Restaurant,American Restaurant,Italian Restaurant,Breakfast Spot,Thai Restaurant,Burger Joint,Greek Restaurant,Chinese Restaurant,Sushi Restaurant,Indian Restaurant,Diner,Sandwich Place,Bagel Shop,Bakery,Seafood Restaurant,BBQ Joint,Steakhouse,Salad Place,Fast Food Restaurant,Deli / Bodega,Cuban Restaurant,Fondue Restaurant,Latin American Restaurant,Donut Shop
28,"Boston, Massachusetts",Italian Restaurant,Bakery,Seafood Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Sandwich Place,French Restaurant,New American Restaurant,Café,Gastropub,Vegetarian / Vegan Restaurant,Greek Restaurant,Sushi Restaurant,Breakfast Spot,BBQ Joint,Japanese Restaurant,Australian Restaurant,Asian Restaurant,Diner,Latin American Restaurant,Arepa Restaurant,Chinese Restaurant,Hot Dog Joint,Jewish Restaurant
29,"Boulder, Colorado",Pizza Place,American Restaurant,Mexican Restaurant,Bakery,Breakfast Spot,Taco Place,Italian Restaurant,Sandwich Place,Indian Restaurant,Café,BBQ Joint,Burger Joint,New American Restaurant,Sushi Restaurant,Vegetarian / Vegan Restaurant,Burrito Place,Diner,Polish Restaurant,Food Court,Cajun / Creole Restaurant,Korean Restaurant,Mediterranean Restaurant,Comfort Food Restaurant,Fast Food Restaurant,Japanese Restaurant
30,"Bridgeport, Connecticut",Pizza Place,Deli / Bodega,American Restaurant,Italian Restaurant,Mexican Restaurant,Breakfast Spot,Sandwich Place,Café,BBQ Joint,Brazilian Restaurant,Sushi Restaurant,Seafood Restaurant,Diner,Asian Restaurant,Bakery,Indian Restaurant,French Restaurant,New American Restaurant,Greek Restaurant,Fish & Chips Shop,Latin American Restaurant,Japanese Restaurant,Falafel Restaurant,Donut Shop,Middle Eastern Restaurant
31,"Broken Arrow, Oklahoma",Mexican Restaurant,Pizza Place,American Restaurant,Burger Joint,BBQ Joint,Italian Restaurant,Seafood Restaurant,Fast Food Restaurant,Asian Restaurant,Steakhouse,Bakery,Deli / Bodega,Hot Dog Joint,Vietnamese Restaurant,Bagel Shop,Mediterranean Restaurant,Gastropub,Chinese Restaurant,Fried Chicken Joint,Cajun / Creole Restaurant,Café,German Restaurant,Sushi Restaurant,Breakfast Spot,Japanese Restaurant
32,"Brownsville, Texas",Mexican Restaurant,Seafood Restaurant,Pizza Place,Italian Restaurant,Fast Food Restaurant,Burger Joint,Wings Joint,Breakfast Spot,Steakhouse,Sushi Restaurant,Deli / Bodega,Argentinian Restaurant,Taco Place,American Restaurant,BBQ Joint,Café,Caribbean Restaurant,Mongolian Restaurant,Empanada Restaurant,Eastern European Restaurant,Diner,Food Court,Latin American Restaurant,Comfort Food Restaurant,Asian Restaurant
33,"Buffalo, New York",American Restaurant,Sandwich Place,Italian Restaurant,Pizza Place,New American Restaurant,Thai Restaurant,Café,Greek Restaurant,Donut Shop,Bakery,Sushi Restaurant,Hot Dog Joint,BBQ Joint,Japanese Restaurant,Vegetarian / Vegan Restaurant,Seafood Restaurant,Diner,Burger Joint,Trattoria/Osteria,Mexican Restaurant,Steakhouse,Vietnamese Restaurant,Taco Place,Latin American Restaurant,Mediterranean Restaurant
34,"Burbank, California",Sandwich Place,American Restaurant,Sushi Restaurant,Italian Restaurant,Bakery,Mexican Restaurant,Café,Japanese Restaurant,Korean Restaurant,Asian Restaurant,New American Restaurant,French Restaurant,Pizza Place,Taco Place,Deli / Bodega,Steakhouse,Donut Shop,Food Truck,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Burger Joint,Chinese Restaurant,Noodle House,Salad Place,Middle Eastern Restaurant
35,"Cambridge, Massachusetts",Bakery,Pizza Place,Sandwich Place,Vegetarian / Vegan Restaurant,Italian Restaurant,Mexican Restaurant,Café,American Restaurant,New American Restaurant,Seafood Restaurant,Greek Restaurant,Japanese Restaurant,Sushi Restaurant,French Restaurant,Tapas Restaurant,Dumpling Restaurant,Gastropub,Comfort Food Restaurant,Burrito Place,Jewish Restaurant,Peruvian Restaurant,Latin American Restaurant,Mediterranean Restaurant,Bistro,Burger Joint
36,"Cape Coral, Florida",Seafood Restaurant,American Restaurant,Pizza Place,Burger Joint,Breakfast Spot,Italian Restaurant,Mexican Restaurant,Café,BBQ Joint,Fast Food Restaurant,Deli / Bodega,Bagel Shop,Sushi Restaurant,Sandwich Place,Caribbean Restaurant,Wings Joint,Chinese Restaurant,Latin American Restaurant,Diner,Peruvian Restaurant,Fish & Chips Shop,New American Restaurant,Tex-Mex Restaurant,Steakhouse,Japanese Restaurant
37,"Carlsbad, California",Seafood Restaurant,Pizza Place,American Restaurant,Mexican Restaurant,Breakfast Spot,Burger Joint,Sandwich Place,Bakery,Taco Place,Italian Restaurant,Sushi Restaurant,Deli / Bodega,Japanese Restaurant,Mediterranean Restaurant,Steakhouse,New American Restaurant,French Restaurant,Thai Restaurant,BBQ Joint,Gastropub,Bistro,Noodle House,Dumpling Restaurant,Vegetarian / Vegan Restaurant,Poke Place
38,"Carrollton, Texas",American Restaurant,Mexican Restaurant,Burger Joint,Pizza Place,BBQ Joint,Steakhouse,Sushi Restaurant,Seafood Restaurant,Italian Restaurant,Taco Place,New American Restaurant,Bakery,Greek Restaurant,Southern / Soul Food Restaurant,Café,Breakfast Spot,Tex-Mex Restaurant,Fast Food Restaurant,Latin American Restaurant,Deli / Bodega,Chinese Restaurant,Food Court,Korean Restaurant,Brazilian Restaurant,Japanese Restaurant
39,"Cary, North Carolina",Mexican Restaurant,Pizza Place,American Restaurant,Mediterranean Restaurant,Bakery,Sushi Restaurant,Café,Burger Joint,Southern / Soul Food Restaurant,Asian Restaurant,Italian Restaurant,Indian Restaurant,Steakhouse,Fast Food Restaurant,BBQ Joint,Breakfast Spot,Donut Shop,Sandwich Place,Seafood Restaurant,Greek Restaurant,Chinese Restaurant,Peruvian Restaurant,Salad Place,Deli / Bodega,New American Restaurant
40,"Cedar Rapids, Iowa",American Restaurant,Pizza Place,Mexican Restaurant,Burger Joint,Café,Sandwich Place,Italian Restaurant,Steakhouse,Bakery,Fast Food Restaurant,Diner,Noodle House,Vietnamese Restaurant,Asian Restaurant,Breakfast Spot,Chinese Restaurant,New American Restaurant,Deli / Bodega,Mediterranean Restaurant,Donut Shop,Comfort Food Restaurant,Falafel Restaurant,Burrito Place,BBQ Joint,Hot Dog Joint
41,"Centennial, Colorado",Mexican Restaurant,Pizza Place,Sandwich Place,Breakfast Spot,American Restaurant,Burger Joint,Italian Restaurant,Fast Food Restaurant,Thai Restaurant,Seafood Restaurant,Taco Place,Sushi Restaurant,French Restaurant,BBQ Joint,Deli / Bodega,Diner,Steakhouse,Chinese Restaurant,Vietnamese Restaurant,New American Restaurant,Cajun / Creole Restaurant,Mediterranean Restaurant,Middle Eastern Restaurant,Fondue Restaurant,Burrito Place
42,"Chandler, Arizona",Pizza Place,Sandwich Place,American Restaurant,Mexican Restaurant,Burger Joint,Italian Restaurant,Breakfast Spot,BBQ Joint,Mediterranean Restaurant,Café,Sushi Restaurant,Steakhouse,Seafood Restaurant,Japanese Restaurant,Gastropub,German Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant,Greek Restaurant,Chinese Restaurant,Deli / Bodega,Middle Eastern Restaurant,Diner,English Restaurant,Fast Food Restaurant
43,"Charleston, South Carolina",Seafood Restaurant,American Restaurant,Pizza Place,Southern / Soul Food Restaurant,Café,BBQ Joint,Burger Joint,New American Restaurant,Bakery,Mediterranean Restaurant,Deli / Bodega,Sandwich Place,Italian Restaurant,Steakhouse,Mexican Restaurant,Gastropub,Breakfast Spot,Vegetarian / Vegan Restaurant,Donut Shop,Vietnamese Restaurant,Diner,Fried Chicken Joint,Tapas Restaurant,Thai Restaurant,Bistro
44,"Charlotte, North Carolina",American Restaurant,Pizza Place,Italian Restaurant,Burger Joint,Steakhouse,Bakery,Mexican Restaurant,Asian Restaurant,Southern / Soul Food Restaurant,Deli / Bodega,Diner,Vegetarian / Vegan Restaurant,BBQ Joint,Irish Pub,Breakfast Spot,Café,Peruvian Restaurant,Sushi Restaurant,French Restaurant,Vietnamese Restaurant,Gastropub,Noodle House,Latin American Restaurant,New American Restaurant,Donut Shop
45,"Chattanooga, Tennessee",Mexican Restaurant,Pizza Place,Sandwich Place,Bakery,American Restaurant,Italian Restaurant,Burger Joint,Steakhouse,Seafood Restaurant,Breakfast Spot,Fried Chicken Joint,BBQ Joint,Southern / Soul Food Restaurant,Japanese Restaurant,Deli / Bodega,Chinese Restaurant,Donut Shop,Greek Restaurant,Fast Food Restaurant,Thai Restaurant,New American Restaurant,Mongolian Restaurant,Food Truck,Indian Restaurant,Gastropub
46,"Chesapeake, Virginia",Sandwich Place,American Restaurant,Mexican Restaurant,Pizza Place,Donut Shop,Burger Joint,Steakhouse,Italian Restaurant,Bakery,Sushi Restaurant,Fast Food Restaurant,Chinese Restaurant,Café,Breakfast Spot,Mediterranean Restaurant,Vietnamese Restaurant,Seafood Restaurant,Burrito Place,Wings Joint,Deli / Bodega,Asian Restaurant,Diner,Bistro,Middle Eastern Restaurant,Caribbean Restaurant
47,"Chicago, Illinois",New American Restaurant,Italian Restaurant,Pizza Place,Sandwich Place,Donut Shop,American Restaurant,Japanese Restaurant,Steakhouse,Seafood Restaurant,Deli / Bodega,Mexican Restaurant,Burger Joint,Mediterranean Restaurant,Diner,Taco Place,Café,Gastropub,Chinese Restaurant,Breakfast Spot,Filipino Restaurant,Cuban Restaurant,Peruvian Restaurant,Molecular Gastronomy Restaurant,Snack Place,Food Court
48,"Chula Vista, California",Mexican Restaurant,Seafood Restaurant,Taco Place,Italian Restaurant,Pizza Place,Steakhouse,Sushi Restaurant,Burger Joint,Food Truck,American Restaurant,Café,Sandwich Place,Middle Eastern Restaurant,Deli / Bodega,Breakfast Spot,Bakery,Creperie,Fish & Chips Shop,Food Court,Chinese Restaurant,Molecular Gastronomy Restaurant,Donut Shop,New American Restaurant,Gastropub,Argentinian Restaurant
49,"Cincinnati, Ohio",Pizza Place,American Restaurant,Italian Restaurant,Sandwich Place,Breakfast Spot,Bakery,New American Restaurant,BBQ Joint,Gastropub,Mexican Restaurant,Café,Burger Joint,Sushi Restaurant,Fried Chicken Joint,Vietnamese Restaurant,Indian Restaurant,Taco Place,Chinese Restaurant,Steakhouse,Thai Restaurant,Diner,Asian Restaurant,Fast Food Restaurant,Donut Shop,Greek Restaurant
50,"Clarksville, Tennessee",Fast Food Restaurant,Mexican Restaurant,Japanese Restaurant,American Restaurant,Sandwich Place,Burger Joint,Pizza Place,Donut Shop,Breakfast Spot,Steakhouse,Korean Restaurant,Fried Chicken Joint,Italian Restaurant,Bakery,Greek Restaurant,Seafood Restaurant,Café,Southern / Soul Food Restaurant,Indian Restaurant,Chinese Restaurant,Asian Restaurant,Vietnamese Restaurant,BBQ Joint,Empanada Restaurant,Fondue Restaurant
51,"Clearwater, Florida",American Restaurant,Pizza Place,Seafood Restaurant,Sandwich Place,Mexican Restaurant,Greek Restaurant,Café,Fast Food Restaurant,Italian Restaurant,Diner,Breakfast Spot,Fried Chicken Joint,New American Restaurant,Caribbean Restaurant,Bakery,Latin American Restaurant,Gastropub,Eastern European Restaurant,Donut Shop,Food Truck,Deli / Bodega,Hawaiian Restaurant,French Restaurant,Cuban Restaurant,Hot Dog Joint
52,"Cleveland, Ohio",Bakery,Sandwich Place,Café,Diner,Pizza Place,Gastropub,Mexican Restaurant,American Restaurant,Seafood Restaurant,New American Restaurant,Steakhouse,Sushi Restaurant,Mediterranean Restaurant,Chinese Restaurant,Deli / Bodega,Vietnamese Restaurant,Southern / Soul Food Restaurant,Ramen Restaurant,Burger Joint,BBQ Joint,Thai Restaurant,Taco Place,Middle Eastern Restaurant,Asian Restaurant,Falafel Restaurant
53,"Clinton, Michigan",Pizza Place,American Restaurant,Breakfast Spot,Sushi Restaurant,Bakery,Sandwich Place,Mediterranean Restaurant,Diner,Mexican Restaurant,Burger Joint,Italian Restaurant,Steakhouse,Deli / Bodega,Middle Eastern Restaurant,Thai Restaurant,BBQ Joint,Bagel Shop,Hot Dog Joint,Seafood Restaurant,Vietnamese Restaurant,Chinese Restaurant,Greek Restaurant,Falafel Restaurant,Asian Restaurant,Food
54,"Clovis, California",Mexican Restaurant,Burger Joint,Italian Restaurant,Japanese Restaurant,American Restaurant,Steakhouse,Breakfast Spot,Pizza Place,Bakery,Sushi Restaurant,Mediterranean Restaurant,Chinese Restaurant,BBQ Joint,Fast Food Restaurant,Sandwich Place,Thai Restaurant,Diner,Seafood Restaurant,Noodle House,Deli / Bodega,Café,Salad Place,Bistro,Taco Place,Gastropub
55,"College Station, Texas",Mexican Restaurant,Fast Food Restaurant,Burger Joint,Pizza Place,Sandwich Place,American Restaurant,Fried Chicken Joint,Bakery,Café,New American Restaurant,BBQ Joint,Steakhouse,Seafood Restaurant,Sushi Restaurant,Deli / Bodega,Southern / Soul Food Restaurant,Breakfast Spot,Wings Joint,Italian Restaurant,Taco Place,Thai Restaurant,Mediterranean Restaurant,Salad Place,Indian Restaurant,Cajun / Creole Restaurant
56,"Colorado Springs, Colorado",Pizza Place,Italian Restaurant,American Restaurant,Breakfast Spot,Mexican Restaurant,Café,Bakery,Diner,Fast Food Restaurant,Steakhouse,BBQ Joint,Greek Restaurant,Deli / Bodega,Thai Restaurant,Burger Joint,German Restaurant,Asian Restaurant,French Restaurant,Mediterranean Restaurant,Fondue Restaurant,Sandwich Place,Irish Pub,Middle Eastern Restaurant,Chinese Restaurant,Donut Shop
57,"Columbia, Missouri",Pizza Place,American Restaurant,Sandwich Place,Burger Joint,Bakery,Steakhouse,Mexican Restaurant,Chinese Restaurant,BBQ Joint,Sushi Restaurant,Italian Restaurant,Café,Gastropub,Japanese Restaurant,Wings Joint,Fast Food Restaurant,Diner,Donut Shop,Cajun / Creole Restaurant,Middle Eastern Restaurant,Deli / Bodega,Falafel Restaurant,Polish Restaurant,Mongolian Restaurant,Noodle House
58,"Columbia, South Carolina",American Restaurant,Pizza Place,Burger Joint,Mexican Restaurant,Sandwich Place,Seafood Restaurant,Chinese Restaurant,Bakery,Fast Food Restaurant,Asian Restaurant,Deli / Bodega,Italian Restaurant,Donut Shop,Café,Southern / Soul Food Restaurant,BBQ Joint,Gastropub,Breakfast Spot,Korean Restaurant,Noodle House,Mediterranean Restaurant,Cajun / Creole Restaurant,Wings Joint,Thai Restaurant,Sushi Restaurant
